start	end	text
0	4520	Hace varios últimos años tenemos
4520	8440	Between the
10060	14480	En raíz deANDbijanc
14480	18620	está la
18620	23640	cataria.
23640	26080	S 다양한
26080	28080	en muchos años.
28080	30080	También en los próximos años,
30080	33080	vemos a la visión de los potenciales de crecimiento
33080	35080	en varios sectores,
35080	38080	particularmente en los sectores de consumidores
38080	41080	o el sector FMCG,
41080	43080	incluyendo las industrias de producción de comida
43080	45080	y beverage.
45080	47080	En realidad, vemos el potencial de crecimiento
47080	49080	más grande para nuestras soluciones de encodimiento
49080	52080	y marcando de una perspectiva global.
52080	54080	Con esto en mente,
54080	56080	el mercado de encodimiento y marcando
56080	58080	es de la importancia estratégica más alta
58080	60080	para el livrador
60080	62080	y estamos enfocando todos nuestros esfuerzos
62080	64080	en seguir expandiendo la posición del livrador
64080	67080	y las fuerzas en este área.
67080	69080	En este contexto,
69080	70080	los investimientos significativos
70080	72080	han sido realizados en el pasado
72080	75080	y van a seguir realizando en los próximos años.
75080	77080	Esto envuelve los investimientos
77080	80080	en nuestra presencia global.
80080	84080	Mientras tenemos una subsidiaría en los Estados Unidos since 1974,
84080	86080	hemos establecido un centro de competencia
86080	89080	en China en 2022.
89080	91080	En paralelo,
91080	93080	hemos expandido nuestra red mundial
93080	95080	de compañías de negociación.
95080	97080	Estos grandes pasos fueron acompañados
97080	101080	por más investimientos en salas y marketing.
101080	103080	Estamos seguros de que solo podemos ser
103080	105080	succesivos en nuestra industria
105080	107080	si entendemos a nuestros clientes
107080	109080	los desafíos y los necesarios
109080	111080	en las diferentes aplicaciones mejor
111080	113080	que a nadie más.
113080	115080	Solo podemos darles a nuestros clientes
115080	117080	con el beneficio más alto posible.
117080	119080	Para hacer esto,
119080	121080	es el elemento que vemos
121080	123080	en las aplicaciones específicas
123080	125080	y en los desafíos en detalle.
125080	127080	En términos de una solución comprensiva
127080	129080	para el producto, coden y marcando,
129080	131080	esto también significa
131080	133080	que podemos ofer
133080	135080	alta calidad de ingres
135080	137080	para una gran cantidad de aplicaciones.
137080	139080	Y estamos succesivos en hacer esto
139080	141080	muy suficientemente.
141080	143080	En 2021,
143080	145080	hemos fortalecido
145080	147080	nuestras experiencias
147080	149080	en el área de ingeniería de ingres
149080	150080	por establecer nuestra propia
150080	152080	investigación y desarrollo
152080	155080	laboratorio en el estado de equipamiento de arte.
155080	157080	La expansión de competencia
157080	159080	también ha llevado a la adquisición
159080	161080	de solución de ingres
161080	162080	y la integración
162080	164080	en la organización o grupo.
164080	165080	Desde entonces,
165080	167080	hemos estado empujando
167080	169080	con el desarrollo más alto
169080	171080	de una gran variedad de tipos de ingres
171080	173080	especialmente para las aplicaciones desafíos.
173080	175080	Porque entendemos
175080	177080	que solo podemos lograr
177080	179080	un resultado perfecto
179080	181080	cuando tecnología y ingres
181080	183080	trabajan perfectamente.
183080	185080	Así que,
185080	186080	estamos bien posicionados
186080	187080	para darles el mejor coden
187080	189080	y marcando sistemas disponibles,
189080	190080	siempre considerando
190080	192080	la mejor solución posible
192080	194080	para nuestros clientes.
194080	195080	Y cuando digo
195080	196080	nosotros,
196080	198080	estoy hablando principalmente de vosotros,
198080	199080	nuestros compañeros de trabajo
199080	202080	y experiencias del mundo.
202080	204080	Sin tus pasos y experiencias,
204080	207080	no pudimos lograr esto.
207080	208080	Solo con vosotros
208080	210080	podemos dar máximo beneficio
210080	212080	a nuestros clientes,
212080	214080	distribuir la solución correcta
214080	215080	a los muchos desafíos
215080	218080	que veremos en el futuro.
218080	219080	Y para esto,
219080	221080	me gustaría agradecerles
221080	223080	muy sinceramente
223080	224080	por su apoyo
224080	226080	y tu colaboración
226080	228080	para tu dedicación
228080	229080	y pasión
229080	230080	en tu trabajo de día a día
230080	233080	con nuestros clientes.
233080	235080	Me gustaría agradecerles
235080	236080	a nuestros clientes
236080	237080	que nos han acompañado aquí hoy.
237080	238080	Siempre hemos ayudado
238080	240080	y apoyado a desarrollarnos más
240080	241080	más.
241080	242080	Trabajamos,
242080	244080	ofertamos tus desafíos
244080	246080	y nos permitimos
246080	249080	desarrollar nuevas soluciones.
249080	251080	Por favor, a todos mis colegas,
251080	252080	me gustaría agradecerles
252080	253080	muy mucho
253080	255080	por estas grandes colaboraciones.
255080	257080	Gracias.
271080	273080	Ladies and gentlemen,
273080	274080	como pueden ver,
274080	276080	no tendríamos ni idea
276080	277080	si nos justizamos
277080	278080	y nos congratulamos
278080	279080	a nosotros
279080	281080	en nuestros sucesos.
281080	282080	En cooperación
282080	283080	con nuestros compañeros
283080	285080	y en una coordinación
285080	286080	con los clientes,
286080	287080	nuestros expertos
287080	288080	han intensivamente
288080	289080	explorado
289080	290080	los trens significativos
290080	291080	que forman
291080	292080	el futuro
292080	294080	de la industria de packaging
294080	297080	y la manufacturación de los productos.
297080	298080	Como nos progresamos
298080	299080	durante el XXI.
299080	300080	Centro,
300080	301080	estamos creciendo
301080	302080	un demando más
302080	304080	para las soluciones
304080	305080	de la packaging.
305080	307080	El riesgo de automación
307080	308080	y digitalización
308080	310080	y procesos de producción.
310080	311080	Y el impacto
311080	313080	de las escuelas laborales
313080	315080	en nuestras industrias.
315080	316080	Los manufacturadores
316080	317080	ahora investen
317080	319080	en materiales innovativos
319080	320080	y están enfocando
320080	321080	en reducir
321080	322080	sus colegas
322080	323080	para los precios
323080	324080	para los demandos
324080	326080	evolucionados.
326080	327080	Primero
327080	328080	y foremost,
328080	329080	el tren
329080	330080	contra la sustanibilidad
330080	331080	se ha convertido
331080	334080	en un aspecto indispensable.
334080	335080	Consumores
335080	336080	y empresas
336080	337080	alike
337080	338080	están empujando
338080	340080	para materiales ecofriendos,
340080	341080	packaging
341080	342080	recyclable
342080	344080	y la reducción en el peso.
344080	345080	Este riesgo
345080	346080	se ha convertido
346080	347080	no solo
347080	349080	en conservencias mentales
349080	350080	pero también
350080	351080	por las presiones
351080	352080	regulatorias
352080	353080	y el avance
353080	354080	de los impactos
354080	355080	de nuestras acciones
355080	357080	en el planeta.
357080	358080	Más sobre,
358080	359080	automación
359080	361080	y digitalización
361080	363080	están revolucionando
363080	365080	la landscapes de producción,
365080	367080	operaciones
367080	368080	y el avance de recursos
368080	370080	optimizados.
371080	372080	Advances
372080	373080	en robotics
373080	375080	y inteligencia artificiales
375080	377080	y las cosas internetas
377080	378080	están enviando
378080	379080	a las empresas
379080	380080	para monitorar
380080	381080	y controlar
381080	382080	sus procesos
382080	383080	con una presión
383080	384080	imprescindible
384080	385080	y
385080	386080	creer
386080	387080	la eficiencia
387080	388080	y reducir
388080	390080	los costos de producción.
391080	392080	Estas tecnologías
392080	393080	también se mitigan
393080	394080	los efectos
394080	396080	de la escuelta laboral
396080	398080	de automación
398080	399080	de tareas complexas
399080	400080	y traer
400080	401080	nuevos trabajadores
401080	403080	a un precio más rápido.
404080	405080	La escuelta laboral
405080	406080	de la escuelta
406080	407080	se ha convertido
407080	408080	en un issue
408080	409080	crítico
409080	410080	en el packaging
410080	411080	y en los sectores de manufactura
411080	412080	con un impacto
412080	413080	significativo
413080	414080	en ambos
414080	415080	cruces
415080	416080	y innovaciones.
417080	418080	Estas empresas
418080	419080	están creviendo
419080	420080	con una fuerza de trabajo
420080	421080	y un poco
421080	422080	de talento
422080	424080	entrando en la industria.
425080	426080	Esta escuelta
426080	428080	se ha accesorizado
428080	429080	por el precio rápido
429080	431080	de los avances tecnológicos
431080	432080	requeriendo
432080	433080	trabajadores
433080	434080	para procesar
434080	436080	una escuelta laboral
436080	437080	que incluye
437080	438080	tanto
438080	439080	la creación tradicional
439080	440080	y
440080	442080	la proficiencia digital.
444080	445080	La escuelta laboral
445080	446080	se ha convertido
446080	447080	en esta fuerza
447080	448080	y no solo en el que
448080	449080	sus clientes
449080	450080	se adaptan
450080	451080	y rechazan
451080	452080	esta escuelta laboral
452080	454080	pero también contribúan
454080	455080	a un futuro más
455080	456080	sustaino
456080	457080	y equitable
457080	458080	para todo el futuro.
460080	461080	Como siempre
461080	462080	hemos estado prensas
462080	465080	en la escuelta laboral
465080	466580	explorando nuevas
466580	467580	formas de hacer
467580	468080	coden
468080	469080	y marcar
469080	470080	más simple,
470080	471080	más flexibles
471080	472080	y más eficientes.
473580	475080	Y durante este tiempo
475080	476080	hemos nunca perdido
476080	477080	la escuelta laboral
477080	478080	más valiente
478080	480080	de la escuelta laboral.
481080	482080	En otros casos
482080	483080	hemos estado
483080	484080	procurando
484080	485080	soluciones
485080	486080	para encontrar
486080	487080	los desafíos
487080	488080	del futuro.
489080	490080	¡Inteligencia!
500080	501080	High expectations
501080	504080	lead to extraordinary solutions.
505080	507080	Solutions that follow a vision
508080	509080	not a path.
510080	511080	Solutions
511080	513080	that are smarter,
513080	515080	better,
515080	517080	more intelligent.
518080	520080	Our aspiration
520080	521080	is to provide
521080	522080	best possible
522080	523080	customer solutions.
525080	527080	Simplify operation,
528080	530080	ensuring quality,
530080	532080	secure efficiency.
533080	535080	Every lightninger is designed
535080	537080	with this aspiration in mind.
538080	540080	Intelligence.
541080	542080	That's the vision
542080	544080	for which we are pioneers.
548080	550080	This is precisely why we focus
550080	552080	our research and development
552080	554080	activities on intelligence early on.
555080	557080	We were the first in our industry
557080	558080	to do so,
558080	559080	to further expand
559080	561080	our technological leadership.
561080	564080	We invented intelligent technology
564080	565080	and have succeeded
565080	566080	in developing it
566080	568080	into cutting edge products
568080	570080	that really make a difference.
571080	573080	For many years we have been generating
573080	575080	significant customer benefit
575080	578080	thanks to intelligent technology.
578080	580080	Not for the sake of technology,
580080	582080	but technology that delivers
582080	583080	the right solution
583080	585080	when you need them.
585080	587080	Technology that makes coding
587080	588080	and marking easier
588080	590080	and ensures real efficiency
590080	591080	and productivity,
591080	593080	which is what customers
593080	594080	demand and expect
594080	596080	for their day-to-day operations.
598080	599080	Ladies and gentlemen,
599080	600080	once again,
600080	602080	the time has come for us
602080	604080	to take another pioneering step.
605080	607080	We have listened to our customers
607080	608080	very closely.
608080	610080	We have analyzed and understood
610080	611080	what drives them.
612080	614080	We have visited our customers
614080	616080	and tuned into their needs.
617080	619080	We have recognized their challenges.
620080	623080	We have also conducted extensive research
624080	626080	and parallel to all this,
626080	628080	we searched for new technologies
628080	630080	and sent out our engineers
630080	632080	and applicant consultants
632080	634080	on a clear mission
634080	637080	to set an all new standard.
639080	641080	We questioned basically everything
641080	643080	because if you really want
643080	644080	to set a new benchmark,
644080	647080	you must explore new ways of thinking,
647080	649080	thinking outside the box,
649080	651080	looking ahead,
651080	653080	assessing trends,
653080	656080	rejecting wrong paths with courage,
656080	658080	at times, taking detours.
660080	662080	Sometimes it comes down to taking
662080	663080	the good things
663080	665080	and making them even better.
666080	667080	And we have recognized
667080	668080	that to create something
668080	670080	entirely new and better,
670080	673080	we need to focus even more closely
673080	675080	on one very specific topic
675080	677080	in our research and development.
677080	679080	Intelligence.
681080	683080	Real intelligence
683080	686080	that delivers more simplicity,
686080	688080	more efficiency
688080	690080	and more flexibility.
691080	692080	In short,
692080	694080	much more customer benefit
694080	696080	and a lot more excited
696080	698080	inspired customers.
699080	700080	This is exactly
700080	702080	what we have accomplished.
703080	705080	Ladies and gentlemen,
705080	708080	the time has finally come.
708080	710080	Today, here and now,
710080	711080	you will experience
711080	714080	the most intelligent printing technology
714080	716080	in the world.
716080	718080	Experience our new
718080	721080	live-agent coding and marking system,
721080	724080	the new world standard.
735080	738080	www.mooji.org
765080	768080	www.mooji.org
768080	771080	www.mooji.org
771080	774080	www.mooji.org
774080	777080	www.mooji.org
777080	780080	www.mooji.org
780080	783080	www.mooji.org
783080	786080	www.mooji.org
786080	788080	Ladies and gentlemen,
788080	789080	here they are,
789080	791080	the new intelligence coding
791080	794080	and marking systems from the library.
794080	797080	First and only ones of their time,
797080	800080	the new Leibinger IQJet.
800080	804080	This is where tremendous application knowledge
804080	807080	meets the art of engineering.
807080	809080	With the IQJet from Leibinger,
809080	813080	we are introducing an all-new generation
813080	816080	of intelligent coding and marking systems.
816080	819080	And they are geared towards a single goal,
819080	821080	to offer our customers
821080	823080	the greatest possible benefit
823080	825080	in day-to-day use.
825080	827080	Or to put it even more simply,
827080	829080	to offer more than everyone else.
829080	831080	And to us, this means
831080	833080	giving our customers the confidence
833080	835080	that everything is functioning smoothly
835080	837080	around the clock
837080	839080	when coding and marking their products.
839080	842080	Providing our customers with the easiest to use
842080	845080	coding and marking systems available today
845080	848080	to always offer our customers
848080	850080	those cost-effective solutions
850080	852080	for all their applications
852080	854080	to help achieve sustainability goals
854080	856080	by providing the smallest
856080	858080	carbon footprint products
858080	860080	along with a peace of mind
860080	862080	and satisfaction
862080	864080	of no longer having to worry
864080	866080	about coding and marking their products.
866080	868080	With the new Leibinger IQJet,
868080	871080	we have succeeded in achieving that.
871080	874080	So, let's take a closer look
874080	876080	at the IQJet.
876080	878080	So, from the exterior you can
878080	880080	can't help but notice
880080	882080	the streamlined, timeless design
882080	886080	with the large 10.1 inch touch display
886080	888080	and the new print head
888080	890080	which now prints more content
890080	892080	with up to 48 dots
892080	895080	and therefore up to 8 lines of code.
895080	897080	But the real assets
897080	900080	and outstanding features
900080	903080	are on the inside of the new IQJet.
903080	905080	And this is where four intelligent
905080	907080	assistance systems
907080	909080	work together to solve
909080	911080	the major challenges
911080	913080	of coding and marking products.
913080	915080	Not only in a way that is different
915080	917080	ladies and gentlemen, but also
917080	919080	much better than all the others.
919080	921080	So, let me briefly introduce
921080	923080	to you these four
923080	925080	very unique systems,
925080	927080	assistance systems.
927080	929080	First, IQ print.
929080	931080	The plug and print
931080	933080	functionality. Responsible
933080	935080	for everything that guarantees
935080	937080	excellent print quality
937080	939080	and the high availability
939080	941080	of the IQJet at all times.
941080	944080	Second, smart OS.
944080	947080	Responsible for the easy operation
947080	950080	and integration of the IQJet
950080	952080	into the production line.
952080	955080	Third, smart efficiency.
955080	959080	Which ensures the lowest operating costs
959080	961080	in the industry.
961080	963080	And fourth,
963080	965080	smart care.
965080	967080	Which means that you won't
967080	969080	have to maintain the IQJet
969080	971080	for five years.
971080	973080	Yes, you heard me right.
973080	975080	No maintenance for five years,
975080	977080	but more on that later.
977080	980080	So, I will now take a few minutes
980080	982080	to go into detail about each
982080	985080	of the intelligent assistance systems
985080	987080	so that you can understand
987080	990080	the unique technologies behind them.
990080	993080	So, I will start with IQ print.
993080	995080	As mentioned earlier,
995080	997080	this intelligent assistance
997080	999080	is responsible for
999080	1002080	consistently excellent print quality.
1002080	1005080	The quickest start-up times
1005080	1008080	and extremely robust printing technology.
1008080	1011080	IQ print guarantees
1011080	1014080	maximum productivity in day-to-day operation.
1014080	1016080	But, how is this possible?
1016080	1018080	You may ask.
1019080	1022080	The unique nozzle seal
1022080	1024080	not only closes the nozzle,
1024080	1026080	but also the gutter
1026080	1028080	and the entire ink return,
1028080	1030080	sealing them completely airtight.
1030080	1032080	This creates a hydraulic,
1032080	1035080	odd airtight hydraulic circuit,
1035080	1037080	which is the prerequisite
1037080	1039080	for automatic circulation
1039080	1041080	of the ink through the entire system.
1041080	1043080	And it ensures that blockages
1043080	1045080	in the ink circuit or ink drying
1045080	1048080	are virtually impossible.
1048080	1050080	For our customers,
1050080	1052080	this means an exceptionally reliable system
1052080	1055080	that is available to the maps.
1055080	1058080	It starts up quickly when it's needed.
1058080	1060080	There is no ink spitting
1060080	1063080	as commonly experienced with other systems.
1063080	1065080	And perhaps best of all,
1065080	1067080	there is no need to clean
1067080	1069080	or flush the printhead
1069080	1071080	of the ink cycle,
1071080	1074080	as is the case with conventional inkjet printers,
1074080	1077080	neither at start-up or at shutdown.
1077080	1079080	But that's not all.
1079080	1081080	In addition to all these advantages,
1081080	1085080	the new IQ print is also significantly more robust
1085080	1089080	and therefore failsafe for many years to come.
1089080	1092080	The ink circuit closes and opens
1092080	1094080	40% faster than before,
1094080	1098080	so the IQ jet is ready to print even more quickly.
1098080	1101080	This ensures maximum availability
1101080	1104080	and reliability of the IQ jet
1104080	1106080	in its day-to-day use.
1106080	1109080	Of course, the new nozzle sealing technology
1109080	1111080	and automatic ink circulation
1111080	1115080	are also a key to consistent print quality.
1115080	1118080	But IQ jet or IQ print
1118080	1121080	has even more to offer in this regard.
1121080	1124080	The new ink temperature control
1124080	1127080	keeps the ink temperature in the printhead
1127080	1129080	consistently at the right level.
1129080	1131080	At the same time,
1131080	1134080	the viscosity of the ink is precisely controlled,
1134080	1137080	thanks to a separate ink mixing tank
1137080	1140080	with a very small control volume
1140080	1143080	in conjunction with advanced algorithms.
1143080	1146080	Viscosity control is now much more dynamic,
1146080	1148080	much faster and more precise
1148080	1151080	than with any conventional CIJ printer,
1151080	1153080	where viscosity is usually controlled
1153080	1155080	in the large reservoir,
1155080	1157080	control much more sluggish
1157080	1160080	and slower than with the IQ jet.
1160080	1162080	With IQ print,
1162080	1165080	the intelligent ink management system,
1165080	1168080	you no longer have to worry about print quality.
1168080	1172080	The IQ jet prints in the very best quality
1172080	1174080	immediately after start-up.
1174080	1177080	It continues to do so until the end of production
1177080	1179080	or even around the clock.
1179080	1183080	Expensive rejects or complaints are things of the past.
1183080	1187080	This is what we mean by maximum customer benefit
1187080	1191080	and it is precisely why we developed IQ print.
1191080	1195080	So, moving on to the next intelligent
1195080	1199080	assistance function, SMART OS.
1199080	1202080	OS stands for Operating System
1202080	1204080	and this function is responsible
1204080	1208080	for the simple, intuitive operating system
1208080	1211080	as well as the easy integration of the IQ jet
1211080	1214080	into the production environment.
1214080	1217080	Let's take a closer look.
1217080	1219080	The new IQ jet is operated
1219080	1224080	via a large, high-resolution 10.1-inch touch display.
1224080	1227080	The capacitive touch technology
1227080	1229080	enables the same operability
1229080	1231080	you benefit from with a smartphone,
1231080	1235080	i.e. with easy swiping, dragging, dropping, or zooming.
1235080	1238080	The display is very responsive,
1238080	1241080	it is promptly reacting to any finger touch.
1241080	1244080	When developing the operating concept
1244080	1248080	we were inspired by state-of-the-art standards
1248080	1252080	in design thinking and in user-centered design.
1252080	1255080	It is intuitively simple
1255080	1258080	and offers quick access to all key functions
1258080	1261080	and data at all times.
1261080	1264080	All essential information is clearly displayed
1264080	1266080	on the home screen
1266080	1268080	and this means that the operator
1268080	1271080	normally has no need to change the menu
1271080	1274080	and can always work in the familiar home screen.
1274080	1278080	The large, color-coordinated operating elements
1278080	1282080	make it easy to read the current status of the IQ jet.
1282080	1284080	The new remote screening
1284080	1287080	is a case-dependent screensaver
1287080	1290080	that displays the current status of the IQ jet
1290080	1293080	and the product counters in full-screen mode
1293080	1296080	working according to the traffic light principle
1296080	1298080	like a signal map.
1298080	1301080	Green indicates that the IQ jet is running,
1301080	1304080	red the IQ jet has a malfunction
1304080	1307080	and blue the IQ jet is paused.
1307080	1310080	This makes it easy to see everything that is important
1310080	1312080	even from a distance
1312080	1316080	saving operators a few trips back and forth.
1316080	1318080	The central menu
1318080	1320080	in the lower part of the display
1320080	1322080	with only five icons
1322080	1325080	is used for general navigation.
1325080	1328080	From there you can access all main functions
1328080	1331080	and return to the previous menu at any time.
1331080	1335080	This makes it easy to find all relevant content
1335080	1338080	and functions.
1338080	1340080	The print job editor
1340080	1343080	has also been improved in great detail.
1343080	1346080	Numerous design or numerous templates
1346080	1349080	and design functions are now available.
1349080	1352080	This allows you to create print jobs
1352080	1354080	tailored to your specific needs
1354080	1356080	in no time at all
1356080	1359080	and to start them simply by the touch of a button.
1359080	1363080	And if an operating function is not quite clear to you,
1363080	1366080	Smart OS offers so-called tool tips
1366080	1370080	or also known as mouseovers or quick info.
1370080	1372080	So the tool tip appears
1372080	1374080	when the finger remains motionless
1374080	1377080	for a short time on the respective element
1377080	1381080	and provides a brief description of the function.
1381080	1384080	Our operating philosophy is very simple.
1384080	1388080	We want anyone to be able to work with our IQJet
1388080	1392080	without the need for manual or operator training.
1392080	1396080	So Smart OS ensures even more operating reliability
1396080	1399080	with myDisplay.
1399080	1403080	MyDisplay allows you to adapt the operations
1403080	1406080	specifically to the needs of the respective user
1406080	1408080	with just a few clicks
1408080	1410080	all the required settings are made
1410080	1414080	and the user only sees what he or she really needs
1414080	1417080	to complete his or her specific tasks
1417080	1420080	for instance changing the print job.
1420080	1423080	Everything else is simply hidden.
1423080	1425080	MyDisplay is a great tool
1425080	1430080	that helps to virtually eliminate operating errors.
1430080	1434080	No less important when investing in a coding and marking system
1434080	1437080	is ease with which it can be integrated
1437080	1439080	into the production environment.
1439080	1443080	Here too Smart OS has a lot to offer.
1443080	1446080	The IQJet features a signal monitor
1446080	1451080	for the clear display of all input and output signals
1451080	1455080	as well as a signal simulation function.
1455080	1459080	So this valuable signal visualization tool
1459080	1461080	for all input and output
1461080	1464080	makes it easy to integrate the IQJet
1464080	1465080	into a production line.
1465080	1468080	For example signals wired to the inputs
1468080	1469080	can be visualized
1469080	1471080	and you can immediately see
1471080	1473080	whether a signal is present or not.
1473080	1476080	This means that correct wiring
1476080	1480080	and signal reliability can be quickly checked.
1480080	1484080	Moreover output signals can also be temporarily set
1484080	1487080	by the IQJet to test the external wiring
1487080	1491080	without the need for a multimeter
1491080	1494080	or oscilloscope.
1494080	1496080	The integrated PLC,
1496080	1499080	the Programmable Logic Controller
1499080	1500080	is also new.
1500080	1503080	It enables the convenient linking
1503080	1506080	of input signals via drag and drop.
1506080	1509080	All this without requiring any programming knowledge
1509080	1512080	and without additional external hardware
1512080	1515080	or extra wiring work.
1516080	1518080	With the integrated PLC,
1518080	1521080	printer functions and peripheral devices
1521080	1524080	can be triggered or controlled individually
1524080	1529080	depending on input or output signals.
1529080	1534080	The OPC-UA interface is also available
1534080	1535080	from now on.
1535080	1539080	OPC-UA is considered the interface standard
1539080	1541080	for industry 4.0.
1541080	1543080	The OPC-UA
1543080	1545080	detailed process data
1545080	1548080	from a wide variety of machine control types
1548080	1550080	can be read, displayed
1550080	1553080	and analyzed in real time.
1553080	1555080	Traditional communication barriers
1555080	1557080	are now in the past.
1557080	1559080	Today virtually all PLC,
1559080	1562080	machine and control manufacturers
1562080	1564080	support this standard.
1564080	1566080	So connecting new production equipment
1566080	1568080	no longer takes days
1568080	1573080	but is usually carried out in less than an hour.
1573080	1575080	Integrating the printhead
1575080	1577080	into a production line
1577080	1579080	is also made easier than ever
1579080	1582080	thanks to the new bus-based communication
1582080	1584080	in the IQJET.
1584080	1586080	The printhead umbilical
1586080	1589080	is more flexible and adaptable.
1589080	1591080	This means that even the tightest
1591080	1593080	installation conditions are no longer a problem
1593080	1595080	and the printhead can be placed
1595080	1597080	in optimal position
